Year,Week Number,Average
1909,19,65.904
1909,20,66.0
1909,21,66.39399999999999
1909,22,67.58
1909,23,68.014
1909,24,66.86600000000001
1909,25,65.814
1909,26,67.032
1909,27,67.39500000000001
1909,28,67.61600000000001
1909,29,68.16999999999999
1909,30,68.79
1909,31,70.836
1909,32,71.51400000000001
1909,33,71.066
1909,34,70.968
1909,35,71.02000000000001
1909,36,70.17
1909,37,70.92
1909,38,71.994
1909,39,72.32199999999999
1909,40,71.686
1909,41,70.68249999999999
1909,42,70.96000000000001
1909,43,70.554
1909,44,72.4075
1909,45,71.612
1909,46,72.268
1909,47,71.3575
1909,48,69.952
1909,49,71.126
1909,50,71.516
1909,51,71.51599999999999
1909,52,71.61600000000001
1910,1,70.83
1910,2,69.444
1910,3,67.75
1910,4,66.626
1910,5,65.026
1910,6,62.95399999999999
1910,7,65.26000000000002
1910,8,65.88
1910,9,66.798
1910,10,68.04400000000001
1910,11,66.80799999999999
1910,12,66.5025
1910,13,65.01000000000002
1910,14,65.51399999999998
1910,15,66.41599999999998
1910,16,65.806
1910,17,63.61800000000001
1910,18,62.352
1910,19,64.116
1910,20,64.27000000000001
1910,21,64.09400000000001
1910,22,61.55500000000001
1910,23,60.758
1910,24,60.89200000000001
1910,25,61.936
1910,26,59.488
1910,27,58.3025
1910,28,58.617999999999995
1910,29,58.029999999999994
1910,30,55.184000000000005
1910,31,55.854
1910,32,57.226
1910,33,58.428
1910,34,57.36
1910,35,57.388
1910,36,56.78
1910,37,57.242
1910,38,57.034000000000006
1910,39,57.354
1910,40,58.76800000000001
1910,41,60.287499999999994
1910,42,62.011999999999986
1910,43,61.586
1910,44,61.822
1910,45,61.0225
1910,46,61.44199999999999
1910,47,61.582499999999996
1910,48,59.6
1910,49,58.32000000000001
1910,50,58.763999999999996
1910,51,59.19
1910,52,58.712500000000006
1911,1,59.5525
1911,2,59.54600000000001
1911,3,60.326
1911,4,60.588
1911,5,61.815999999999995
1911,6,62.038
1911,7,61.65
1911,8,61.78
1911,9,60.7
1911,10,59.774
1911,11,60.53800000000001
1911,12,60.69
1911,13,60.60600000000001
1911,14,60.181999999999995
1911,15,60.04
1911,16,59.348
1911,17,59.736000000000004
1911,18,60.548
1911,19,60.008
1911,20,61.51800000000001
1911,21,62.274
1911,22,62.269999999999996
1911,23,62.49399999999999
1911,24,62.85
1911,25,62.68399999999999
1911,26,62.446000000000005
1911,27,62.09
1911,28,62.434000000000005
1911,29,62.476
1911,30,62.33
1911,31,61.366
1911,32,59.339999999999996
1911,33,58.474000000000004
1911,34,58.02
1911,35,57.342000000000006
1911,36,57.714999999999996
1911,37,56.79200000000001
1911,38,55.489999999999995
1911,39,53.592
1911,40,55.424
1911,41,55.852500000000006
1911,42,56.486000000000004
1911,43,55.786
1911,44,55.738
1911,45,57.68000000000001
1911,46,58.025999999999996
1911,47,58.946000000000005
1911,48,58.6875
1911,49,57.822
1911,50,58.788
1911,51,59.504
1911,52,59.17
1912,1,60.776666666666664
1912,2,59.233999999999995
1912,3,59.148
1912,4,59.274
1912,5,58.482000000000006
1912,6,58.358000000000004
1912,7,58.5325
1912,8,58.707499999999996
1912,9,58.962
1912,10,60.105999999999995
1912,11,60.958000000000006
1912,12,62.568
1912,13,64.018
1912,14,64.4875
1912,15,65.22
1912,16,64.692
1912,17,65.04400000000001
1912,18,65.24800000000002
1912,19,63.80799999999999
1912,20,64.82199999999999
1912,21,65.3
1912,22,64.765
1912,23,65.088
1912,24,65.13799999999999
1912,25,65.35400000000001
1912,26,65.572
1912,27,65.9525
1912,28,64.084
1912,29,64.51599999999999
1912,30,64.90200000000002
1912,31,64.964
1912,32,65.208
1912,33,66.12800000000001
1912,34,66.196
1912,35,66.40599999999999
1912,36,65.8875
1912,37,65.72999999999999
1912,38,66.312
1912,39,67.634
1912,40,67.99
1912,41,67.83399999999999
1912,42,67.494
1912,43,66.46000000000001
1912,44,65.68
1912,45,66.125
1912,46,65.2
1912,47,65.582
1912,48,65.56
1912,49,64.588
1912,50,62.217999999999996
1912,51,62.67999999999999
1912,52,63.22
1913,1,59.592000000000006
1913,2,63.74000000000001
1913,3,61.95799999999999
1913,4,59.767999999999994
1913,5,60.27
1913,6,60.272000000000006
1913,7,59.43
1913,8,58.077999999999996
1913,9,57.782
1913,10,58.75599999999999
1913,11,57.71
1913,12,56.935
1913,13,57.896
1913,14,59.379999999999995
1913,15,59.769999999999996
1913,16,58.898
1913,17,58.653999999999996
1913,18,57.24399999999999
1913,19,57.55
1913,20,57.022000000000006
1913,21,57.331999999999994
1913,22,57.182500000000005
1913,23,55.028
1913,24,53.19
1913,25,54.412
1913,26,54.251999999999995
1913,27,54.68000000000001
1913,28,54.658
1913,29,55.105999999999995
1913,30,56.652
1913,31,56.964
1913,32,57.398
1913,33,58.126
1913,34,57.995999999999995
1913,35,58.501999999999995
1913,36,58.42
1913,37,59.410000000000004
1913,38,59.872
1913,39,59.67999999999999
1913,40,58.60799999999999
1913,41,57.538
1913,42,56.12
1913,43,57.024
1913,44,57.122
1913,45,56.175
1913,46,55.532
1913,47,55.61
1913,48,55.38249999999999
1913,49,55.43800000000001
1913,50,55.168000000000006
1913,51,54.92999999999999
1913,52,56.7375
1914,1,56.92
1914,2,57.260000000000005
1914,3,58.129999999999995
1914,4,59.318
1914,5,59.709999999999994
1914,6,59.94199999999999
1914,7,59.7775
1914,8,59.852
1914,9,59.227500000000006
1914,10,59.16400000000001
1914,11,59.056000000000004
1914,12,59.720000000000006
1914,13,59.824
1914,14,59.544000000000004
1914,15,59.36
1914,16,58.11800000000001
1914,17,57.07000000000001
1914,18,57.13399999999999
1914,19,57.73199999999999
1914,20,58.278
1914,21,58.839999999999996
1914,22,58.977999999999994
1914,23,58.614
1914,24,59.193999999999996
1914,25,58.862
1914,26,58.28000000000001
1914,27,58.36
1914,28,59.056000000000004
1914,29,58.396
1914,30,58.263999999999996
1914,31,54.9525
1914,51,55.525999999999996
1914,52,53.8775
1914,53,54.565
1915,1,55.794000000000004
1915,2,57.513999999999996
1915,3,58.27399999999999
1915,4,57.432
1915,5,56.548
1915,6,57.00999999999999
1915,7,56.05400000000001
1915,8,54.56250000000001
1915,9,55.867999999999995
1915,10,56.80799999999999
1915,11,56.702
1915,12,59.044000000000004
1915,13,60.8275
1915,14,63.158
1915,15,66.624
1915,16,68.356
1915,17,70.16400000000002
1915,18,68.002
1915,19,62.910000000000004
1915,20,63.55
1915,21,64.926
1915,22,66.50999999999999
1915,23,68.994
1915,24,71.08400000000002
1915,25,71.004
1915,26,70.14200000000001
1915,27,68.8125
1915,28,70.878
1915,29,72.362
1915,30,75.256
1915,31,76.984
1915,32,77.90599999999999
1915,33,80.908
1915,34,79.92
1915,35,81.284
1915,36,81.255
1915,37,81.81400000000001
1915,38,85.4
1915,39,90.058
1915,40,89.814
1915,41,92.83
1915,42,94.882
1915,43,95.018
1915,44,95.1975
1915,45,92.88199999999999
1915,46,95.662
1915,47,96.445
1915,48,96.17199999999998
1915,49,97.466
1915,50,97.282
1915,51,97.99000000000001
1915,52,98.73599999999999
1916,1,97.54400000000001
1916,2,95.25
1916,3,95.28399999999999
1916,4,93.56800000000001
1916,5,92.75800000000001
1916,6,95.596
1916,7,94.7
1916,8,93.98249999999999
1916,9,90.96799999999999
1916,10,92.94
1916,11,95.598
1916,12,93.71199999999999
1916,13,93.34400000000001
1916,14,94.012
1916,15,92.83599999999998
1916,16,89.575
1916,17,88.15599999999999
1916,18,88.83
1916,19,90.174
1916,20,91.952
1916,21,92.288
1916,22,91.71000000000001
1916,23,92.10999999999999
1916,24,93.19
